img1[ 1016 ; 544 ]/img2[ 1106 ; 547 ]/445959/
img1[ 699 ; 434 ]/img2[ 660 ; 413 ]/8c8c38/
img1[ 675 ; 258 ]/img2[ 630 ; 224 ]/e1cc85/
img1[ 678 ; 463 ]/img2[ 635 ; 443 ]/58999c/
img1[ 787 ; 492 ]/img2[ 770 ; 478 ]/6ed3c4/
img1[ 1017 ; 544 ]/img2[ 1107 ; 548 ]/84bb1b/
img1[ 700 ; 384 ]/img2[ 666 ; 358 ]/9e1fae/
img1[ 302 ; 632 ]/img2[ 335 ; 591 ]/3c937c/
img1[ 677 ; 430 ]/img2[ 637 ; 407 ]/2761af/
img1[ 541 ; 366 ]/img2[ 491 ; 334 ]/c3bd9a/
img1[ 690 ; 441 ]/img2[ 653 ; 421 ]/561c0d/
img1[ 640 ; 236 ]/img2[ 602 ; 197 ]/dc35cc/
