img1[ 1152.21 ; 650.077 ]/img2[ 1012.12 ; 802.035 ]/2923be/
img1[ 166.006 ; 564.467 ]/img2[ 170.635 ; 686.106 ]/84e16c/
img1[ 165.383 ; 563.94 ]/img2[ 170.429 ; 685.427 ]/d6ae52/
img1[ 132.197 ; 563.659 ]/img2[ 144.507 ; 682.922 ]/9049f1/
img1[ 139.565 ; 566.86 ]/img2[ 151.604 ; 686.329 ]/f1bbe9/
img1[ 441.401 ; 532.411 ]/img2[ 417.946 ; 665.364 ]/ebb3a6/
img1[ 690.363 ; 481.86 ]/img2[ 657.742 ; 639.146 ]/db3c87/
img1[ 486.288 ; 582.958 ]/img2[ 594.597 ; 671.406 ]/0c3e99/
img1[ 394.704 ; 538.757 ]/img2[ 503.509 ; 658.375 ]/245e0d/
img1[ 321.499 ; 545.348 ]/img2[ 441.441 ; 661.616 ]/1c06b7/
img1[ 682.776 ; 695.864 ]/img2[ 688.342 ; 798.25 ]/47deb3/
img1[ 632.534 ; 1157.85 ]/img2[ 467.691 ; 1216.98 ]/124dc8/
img1[ 761.029 ; 725.42 ]/img2[ 610.244 ; 849.161 ]/43bb8b/
img1[ 676.892 ; 734.523 ]/img2[ 610.244 ; 849.161 ]/a61f03/
img1[ 1153.46 ; 650.125 ]/img2[ 1012.12 ; 802.035 ]/5a7d09/
img1[ 687.234 ; 488.244 ]/img2[ 657.742 ; 639.146 ]/38251f/
img1[ 148.316 ; 564.009 ]/img2[ 151.604 ; 686.329 ]/5dd4cb/
img1[ 695.634 ; 1349.56 ]/img2[ 543.362 ; 1400.51 ]/fc96f5/
